Filename,Model_Name,Total_Instances,Discriminatory_Instances,Percentage_Discriminatory,First_Discrepancy
compas_train_2_way_covering_array_bin_means_2024-12-31_11-59.csv,compas__logistic_regression__.pkl,95,23,24.211,5
compas_train_2_way_covering_array_bin_means_2024-12-31_11-59.csv,compas__nn__.h5,95,15,15.789,5
compas_train_2_way_covering_array_bin_means_2024-12-31_11-59.csv,compas__random_forest__.pkl,95,49,51.579,3
compas_train_2_way_covering_array_bin_means_2024-12-31_11-59.csv,compas__svm__.pkl,95,26,27.368,5
