Filename,Model_Name,Total_Instances,Discriminatory_Instances,Percentage_Discriminatory,First_Discrepancy
compas_train_3_way_covering_array_bin_means_2024-12-31_11-59.csv,compas__logistic_regression__.pkl,837,164,19.594,26
compas_train_3_way_covering_array_bin_means_2024-12-31_11-59.csv,compas__nn__.h5,837,167,19.952,7
compas_train_3_way_covering_array_bin_means_2024-12-31_11-59.csv,compas__random_forest__.pkl,837,427,51.016,5
compas_train_3_way_covering_array_bin_means_2024-12-31_11-59.csv,compas__svm__.pkl,837,197,23.536,17
compas_train_3_way_covering_array_bin_means_2024-12-31_11-59.csv,compas__logistic_regression__.pkl,837,164,19.594,26
compas_train_3_way_covering_array_bin_means_2024-12-31_11-59.csv,compas__nn__.h5,837,167,19.952,7
compas_train_3_way_covering_array_bin_means_2024-12-31_11-59.csv,compas__random_forest__.pkl,837,427,51.016,5
compas_train_3_way_covering_array_bin_means_2024-12-31_11-59.csv,compas__svm__.pkl,837,197,23.536,17
