Filename,Model_Name,Total_Instances,Discriminatory_Instances,Percentage_Discriminatory,First_Discrepancy
GermanCredit_AI360_Modified_2way_concrete_TC_with_constraint_columns_reordered.csv,credit__logistic_regression__.pkl,81,9,11.111,7
GermanCredit_AI360_Modified_2way_concrete_TC_with_constraint_columns_reordered.csv,credit__nn__.h5,81,17,20.988,7
GermanCredit_AI360_Modified_2way_concrete_TC_with_constraint_columns_reordered.csv,credit__random_forest__.pkl,81,11,13.58,7
GermanCredit_AI360_Modified_2way_concrete_TC_with_constraint_columns_reordered.csv,credit__svm__.pkl,81,2,2.469,28
